id,source_line,rating,reference,prediction,correct,llm_emotion,lexicon_emotion,emotion_agreement,title,text,matched_words
70,91578,1.0,NEGATIVE,NEGATIVE,True,sadness,,,No value!,Tried to purchase with the card. Said zero value.,
71,39071,5.0,POSITIVE,POSITIVE,True,joy,anticipation,False,Cute,Really cute for a birthday present.,birthday present
72,92743,1.0,NEGATIVE,NEGATIVE,True,anger,fear,False,DIFFICULT TO USE. BRING BACK THE OLD FORMAT!,DIFFICULT TO USE. BRING BACK THE OLD FORMAT!,difficult difficult
73,115160,5.0,POSITIVE,POSITIVE,True,anticipation,joy,False,Great Service!!,Received my card today in excellent condition and I know that I will have a very happy teenager come Christmas,excellent happy
74,22438,3.0,NEUTRAL,NEUTRAL,True,trust,,,Ok,Ok,
75,81266,3.0,NEUTRAL,NEGATIVE,False,anger,anticipation,False,its gift card,"its a gift card, not even sure why Amazon wants me to review it. It was a pain as I had credit card gift card I wanted to use and pay the remainder on my debit card, Amazon said ""no"". So I had to buy this gift card with the other gift card so I could buy my gift and pay the difference on my own card, what a pain.",gift gift pain credit gift pay gift gift gift pay pain
76,113184,3.0,NEUTRAL,NEUTRAL,True,trust,anger,False,Convenient service but still some confusion?,The reload itself went fine but I had some problems re activating the reloaded card as my payment option. I'm still not sure how I got it to work...,confusion
77,38692,3.0,NEUTRAL,POSITIVE,False,joy,anticipation,False,Great gift to me,The design is cool. Overall GOOD.,gift good
78,117598,3.0,NEUTRAL,NEUTRAL,True,trust,anticipation,False,Look and Wait,difficult to find and no verification that I was successful in using online reload but overall OK,wait difficult verification successful
79,148143,3.0,NEUTRAL,NEGATIVE,False,sadness,trust,False,Could not use,I don’t think it has anything on it,don
80,37502,5.0,POSITIVE,POSITIVE,True,trust,,,Works,What else can I say? It works!,
81,4219,1.0,NEGATIVE,NEGATIVE,True,anger,,,Do not buy,"This is a scam - can't be used for Spotify, it's a joke",
82,110675,2.0,NEGATIVE,NEGATIVE,True,sadness,anticipation,False,Refused at some restaurants,I gave four of these as gifts for Christmas.  Some restaurants will not take them.  Doesn’t make for a very good gift if you’re limited on where you can use them.,refused good gift limited
83,128395,1.0,NEGATIVE,NEGATIVE,True,anger,trust,False,Connections Account not safe for gift cards,"We purchase gift cards every year from Cinemark and reload them throughout the year. We listened to the advertising and advice from Cinemark and added our giftcard to our connection account a little over a year ago. BIG MISTAKE! Cinemark does not have good protection from cyber hackers for their connection site. Thus our giftcard was hacked from the connections site and we lost $225.00 of our giftcard balance when that balance was stolen from their site and used over 800 miles a way to, I guess, have an expensive movie night out! I wish we had ignored Cinemark and their advertising as if we had just used the giftcard we purchased and taken it out of our wallet to pay and not linked the GC number to our account we would still have $225.01 that was haced.<br /><br />Cinemark also does not honor their guests. We have been treated rudely. Told musinformation, like that their loss prevention team would call yet that has never happened. Also asked to be able to speak to corporate about our situation only to have our requests fall on deaf ears. We filed a police report, but could not give completed information as we have been unable to speak with loss prevention about exactly what happened. How was our account hacked? Were other accounts hacked? So today we also filed a complaint against Cinemark USA Inc. For lack of customer service, failure to secure their site while protecting people's money and still advertising to people to add your GC to that unsafe site! Protect yourself. Buy your giftcard, keep it safe in your wallet and enjoy it from there. That way you keep what is yours! Don't let Cibemark lose what is yours! Trust me they won't do anything about it and they won't give the lost money back!",account safe gift gift advice account mistake good lost stolen guess pay account honor loss prevention team fall police unable loss prevention account accounts complaint failure protecting money unsafe safe enjoy lose trust lost money
84,96779,1.0,NEGATIVE,NEGATIVE,True,sadness,anger,False,Cards were empty. Waste of money.,"Unable to redeem these cards, they each had $0 dollars on them. Money down the drain.",waste money unable money
85,120381,5.0,POSITIVE,POSITIVE,True,joy,joy,True,Loved it,Loved the special graduation icons,special graduation
86,110854,3.0,NEUTRAL,NEGATIVE,False,anger,anger,True,Wht such a high purchase fee?,I think the service fee of $5.95 is too high.,fee fee
87,112545,3.0,NEUTRAL,NEGATIVE,False,sadness,anticipation,False,Disappointed in the bent tin.,I received this and it was so bent up that the cupcake tin wouldn’t close.  I was disappointed because it was for a child’s birthday gift.  I’ve purchased many gift cards and this is the only time I was unhappy with my purchase.,disappointed disappointed child birthday gift gift time unhappy
88,63708,3.0,NEUTRAL,NEGATIVE,False,surprise,anticipation,False,Details unclear,An attractive offer but i did not understand that the bonus would only apply to an order shipped directly from Amazon,bonus
89,122436,1.0,NEGATIVE,NEGATIVE,True,sadness,anticipation,False,What headline?,I thought I could use it for subscription or something. Couldn't. Currently I don't know what to do with it or how to use it...,thought
90,130395,1.0,NEGATIVE,NEGATIVE,True,anger,fear,False,A nightmare,There is no simple way to get these v bucks onto a secondary account on ps4. Epic games and PlayStation are both no help in fixing the issue either,nightmare account
91,132494,3.0,NEUTRAL,NEGATIVE,False,sadness,anticipation,False,"Would have been nice if the ""this is a gift"" line was noticed ...",This was a gift item and the person receiving said there was no information from where it came.  She had to send an embarrassing text to find out &#34;who sent the Amazon gift card&#34;.  Would have been nice if the &#34;this is a gift&#34; line was noticed with to and from.,gift gift receiving gift gift
92,71162,3.0,NEUTRAL,NEUTRAL,True,trust,,,Three Stars,1,
93,59472,5.0,POSITIVE,POSITIVE,True,joy,anticipation,False,Great gift box,Loved the free gift box,gift gift
94,102406,1.0,NEGATIVE,NEGATIVE,True,anger,anticipation,False,Did not work,I gave this to my friend As a gift it says there is money on the card but it will not work<br />It shut down a system at a store when they tried to use it. When you call it says money is on there but they can’t use it,friend gift money system store money
95,26928,1.0,NEGATIVE,NEGATIVE,True,anger,anticipation,False,False advertising,Ripp off. The offer was  $50.00 for $40.00 and the charged the $50.00. Dont fall for it. The cards did arrive timely but not at the price avertized.,fall arrive
96,80294,5.0,POSITIVE,POSITIVE,True,joy,anticipation,False,good stuff,loved the packaging. Makes giving a gift card much better.,good gift
97,836,5.0,POSITIVE,POSITIVE,True,trust,joy,False,Great gift card for friends in holiday season,Great design of gift card for friends to eat some chipotle food in holiday season. Easy to use.,gift holiday gift food holiday
98,88205,5.0,POSITIVE,POSITIVE,True,trust,anticipation,False,Gift Cards how can you rate gift cards,Gift Cards are gift cards...can't go wrong there.,gift gift gift gift
99,88805,1.0,NEGATIVE,NEGATIVE,True,anger,trust,False,Overcharged,"I purchased a Brother Compact Monochrome Laser Printer, HL-L2370DWXL, which included a promotional offer, ""Buy any Brother XL Printer, and receive a $20 gift card... Gift Card must be added to Shopping Cart, and offer will be reflected at Checkout."" I should not have been charged for this card. Very unhappy.",brother compact monochrome laser brother gift gift shopping unhappy
100,78562,2.0,NEGATIVE,NEGATIVE,True,sadness,anticipation,False,It was supposed to be for mother's day and I received one that looked more like it was intended for a birthday,"I received the wrong card. It was supposed to be for mother's day and I received one that looked more like it was intended for a birthday, with balloons and such on it.",intended birthday intended birthday
101,100927,3.0,NEUTRAL,NEGATIVE,False,anger,sadness,False,Having problems doing that,Trying to cancel it,cancel
102,31200,5.0,POSITIVE,POSITIVE,True,joy,anticipation,False,For those sewers in your life.,Great gift card for those crafty people on your list.,gift
103,75279,3.0,NEUTRAL,NEUTRAL,True,trust,anticipation,False,Just a gift card,Just a gift card,gift gift
104,94520,1.0,NEGATIVE,NEGATIVE,True,anger,sadness,False,was not activated,I was trying to buy some thing and kept on saying that the card was invalid,invalid
105,80207,3.0,NEUTRAL,NEGATIVE,False,anger,,,Service,My card was all damaged and the outside envelope came later then said,
106,99210,1.0,NEGATIVE,NEGATIVE,True,anger,anticipation,False,One Star,Not very happy went to use this and it was not loaded with the $25 :(,star happy
107,148854,1.0,NEGATIVE,NEGATIVE,True,anger,anticipation,False,"Horrible, horrible, horrible!! Do NOT order from this SHAM company!","I don't know what kind of sweatshop these guys are running, but I've had problems with them since day ONE--I tried to give them ZERO STARS, but I HAD to give them at least one (which is being generous, in my opinion). I ordered my cards well in advance, and they still did not arrive on time. When I called the company to figure out what the issue was, they sent my phone call to somewhere in India--I was put on hold numerous times while they scrambled around trying to figure out what was going on with an order they had sent. When they finally had some information, they GUARANTEED a delivery date--the date passed with NO cards in the mail whatsoever. Apparently, this 'company' (and I use that term very loosely) takes 2+ weeks to process and send out FAULTY orders.<br /><br />When the individual DID receive the card it looked as though it had been used, and did not even WORK. When I explained to 'GiftCard Mall' what had happened, and told them that my mother said it looked like the card was in rough condition (the individual at the store the card was purchased for, in fact, confirmed the card HAD been reloaded--she had guessed it was multiple times from the shape the card was in), they implied that she was lying about it! The manager I spoke with on the phone was constantly interrupting me and trying to speak over me while I was trying to explain myself--trying to convince me that the United States Postal Service doesn't have tracking numbers. I told the manager that I was guaranteed a delivery date when I called previously, at the very least I expect a company to stick by the guarantees THEY offer, but apparently this company does NOT stick by their promises. The records they had of my previous conversation was entirely lacking, and instead of trying to resolve the issue the 'manager' (I say this because he was both condescending and unprofessional) then sent me off to get lost in the paperwork of some 'corporate office.'<br /><br />I love Amazon, and I love the convenience of online shopping--I would have been a FREQUENT customer of GiftCard Mall, but this business isn't a business at all. These guys take your order and your HARD-EARNED MONEY, and then throw an old, previously used giftcard in the mail hoping it's the right store, with the right amount, going to the right location--if not, oh well! It will be your fault...but only because you still chose to order from them after reading this.<br /><br />From now on, I will be buying my giftcards the old-fashioned way--if it ain't broke...",horrible horrible horrible sham kind generous advance arrive time finally delivery mail mother store fact confirmed lying constantly explain convince united delivery expect lost love love shopping money mail store fault broke
108,85973,3.0,NEUTRAL,NEGATIVE,False,surprise,surprise,True,Beware of packaging,"I purchased a $50 gift card and had it sent to a relative. All of the online documentation indicated the recipient would not know what was in the package.  There was a box during the order process for a To: and From: and I also added ""Do Not Open Until Christmas"". The package arrived on the specified day but the label on the outside of the box did not have any indication of my note.  The recipient opened the box to find a sealed Amazon envelope and a packing slip.  The sealed envelope contained the gift card.  I figured the note should be here; nope.  I finally found the note on the packing slip.  OK, that's fine, but the packing slip also had the description of what was inside the sealed envelope including the denomination of the gift card; so much for a surprise.",beware gift relative recipient label recipient slip gift finally found slip slip gift surprise
109,107946,1.0,NEGATIVE,NEGATIVE,True,anger,anger,True,This sux,Bad,bad
110,90118,3.0,NEUTRAL,NEGATIVE,False,sadness,anticipation,False,"Gift message was not left with package, my brother had no idea who it was from, very disappointing.",Should have given the gift message with the gift card so my brother knew who it was from.,gift brother disappointing gift gift brother
111,73795,5.0,POSITIVE,POSITIVE,True,joy,anticipation,False,Perfect Gift,Perfect gift for someone who has most everything.,perfect gift perfect gift
112,88065,3.0,NEUTRAL,NEUTRAL,True,anticipation,,,Hard to figure the value from outside.,Hard to figure the value from outside.,
113,141300,5.0,POSITIVE,POSITIVE,True,joy,anticipation,False,Fun for birthdays,Great birthday gift.,fun birthday gift
114,63860,3.0,NEUTRAL,POSITIVE,False,joy,anticipation,False,"ill try most things, once",glad to get a ten dollar reward to try it out.,ill glad reward
115,71139,5.0,POSITIVE,POSITIVE,True,joy,anticipation,False,Pretty,Basic gift card,pretty gift
116,34148,1.0,NEGATIVE,NEGATIVE,True,sadness,anger,False,Not a Bear.  Tradition Ruined,I've been getting the Amazon Gund bear every year.  This year the bear was replaced by socks.  Very sad end to a great tradition from the Amazon promotion team..,bear ruined bear bear team
117,133998,3.0,NEUTRAL,NEGATIVE,False,disgust,anticipation,False,Limited use,This gift card cannot be used at Starbucks in a Barnes and nobles store.,limited gift store
118,84881,3.0,NEUTRAL,POSITIVE,False,joy,fear,False,Three Stars,Cute little Xmas case,case
119,151653,1.0,NEGATIVE,NEGATIVE,True,anger,,,That I can use it,The one did not work.  Won’t buy again,
120,94939,1.0,NEGATIVE,NEGATIVE,True,anger,,,Doesn't work,It doesn't work,
121,144603,3.0,NEUTRAL,NEGATIVE,False,fear,anger,False,Call the number on the back to register card DO NOT USE SITE,2/3 worked fine trying to get Amazon to fix the last card because a google charge ended up there that wasn’t me. People are using fake sites to steal money so just call the number on the back of the card to avoid your money going missing and try to transfer it to a personal card if you can,steal money avoid money missing personal
122,118955,3.0,NEUTRAL,NEGATIVE,False,anger,anticipation,False,ok but I was offered a $10. gift promo ...,"ok  but I was offered a $10. gift promo for ordering it but did not receive it... and I ordered another $50.card with same promo and got card and no promotion., so I gave it a 3",gift gift
123,95229,2.0,NEGATIVE,NEGATIVE,True,anger,anticipation,False,I'm glad I did not give this card away as a ...,"I'm glad I did not give this card away as a gift because I would be embarrassed to find out that it did not work for the recipient when it was supposed to. I've called the phone number on the back of the card and it is activated and contains the appropriate balance. The card, however, did not read and was neither &#34;accepted or declined&#34;, as the manager was telling me this.<br /><br />I've gone to the company that operates the card and it referenced that any redemption issues should notify the retailer that issued the card. So now I wait to find out how I can use my card with a balance but cannot be read and processed.",glad glad gift recipient wait
124,67364,3.0,NEUTRAL,NEGATIVE,False,disgust,anticipation,False,Pretty but too thin,It is too thin as I thought,pretty thought
125,115506,5.0,POSITIVE,POSITIVE,True,trust,,,Five Stars,Great investment. I need more,
126,47495,1.0,NEGATIVE,NEUTRAL,False,surprise,anger,False,To give a Christmas gift card in June someone screwed up. I asked for a different card front,Wrong card.  I’ll keep this for Christmas,gift screwed
127,79123,5.0,POSITIVE,POSITIVE,True,joy,anticipation,False,Arrived in 2 days 👍,Quick delivery and great gift for friend traveling,delivery gift friend
128,147837,1.0,NEGATIVE,NEGATIVE,True,sadness,,,I recieved only 16.,"Orginal order was for 18 cards, I recievd only 16.",
129,11345,5.0,POSITIVE,POSITIVE,True,joy,,,Amazing,He loved it!,
130,140507,1.0,NEGATIVE,NEGATIVE,True,anger,,,Envelopes were too small for the cards!,The envelopes were too small for the cards,
131,137065,2.0,NEGATIVE,NEGATIVE,True,anger,anticipation,False,Prepare to wait...,They claim it will take 5 minutes... more like over an hour every time.. this is inconvenient  and almost funny because when the money goes directly through it should automatically  reflect on the balance... sorry amazon buy this process is broken..,prepare wait time inconvenient money broken
132,101906,5.0,POSITIVE,POSITIVE,True,joy,anticipation,False,Great gift idea,"Came quickly, and they loved they could what they want",gift
133,15284,2.0,NEGATIVE,POSITIVE,False,trust,sadness,False,"These are handy for tough to buy for folks.  Not very personal, but it does allow them to make their own purchases.","These are handy for tough to buy for folks.  Not very personal, but it does allow them to make their own purchases.",tough personal tough personal
134,141116,1.0,NEGATIVE,NEGATIVE,True,anger,,,Was not activated,Was not activated.,
135,94930,1.0,NEGATIVE,NEGATIVE,True,sadness,anticipation,False,Came without being loaded,"I bought this as a gift for my mother on Christmas.  When she went to use it, it had no money on it.  I had bought others that worked fine, but this one did not.  Unfortunately it ruined a holiday  present for family.",gift mother money ruined holiday present
