id,title,text,rating,reference,prediction,correct
43,GOOD PIZZA !!,Perfect and I even used Amazon Points - was mailed right out.,5.0,POSITIVE,POSITIVE,True
44,We like this Store and they stock Tons of different Items for all kinds of Pets,Our cats love this place.,5.0,POSITIVE,POSITIVE,True
45,Money was loaded on card,Was cute and the money was loaded when it arrived,5.0,POSITIVE,POSITIVE,True
46,👍,👍,5.0,POSITIVE,POSITIVE,True
47,Love it!!,This is an online gift card nothing to show sorry🤪,5.0,POSITIVE,POSITIVE,True
48,Five Stars,Gift cards are always a hit.,5.0,POSITIVE,POSITIVE,True
49,So cool you can get a free tin with the gift ...,So cool you can get a free tin with the gift card and it comes in 24 hours!! Super awesome. Last year I just printed off the gift cards which looked kind of cheap even though the cards were for substantial amounts. Highly recommend.,5.0,POSITIVE,POSITIVE,True
50,Reccomend,Really easy to load,5.0,POSITIVE,POSITIVE,True
51,Little sister surprise,"Same gift as her big sister's, this little one can choose the exact thing she most desires and run to the door for three days in anticipation.  A combined birthday and Christmas present for one who knows her own mind.  Good choice!",5.0,POSITIVE,POSITIVE,True
52,"The added value was great, but no more",Purchasing an Amazon gift card came with an added monetary value but no more.<br /><br />A Bronx cheer for you!,1.0,NEGATIVE,NEGATIVE,True
53,Perfect gift!,This is near where I work and has a drive through.  Nothing better during these times to give than a gift of good food they can pick up with minimal contact. Gift cards are the way to go these days!,4.0,POSITIVE,POSITIVE,True
54,Great staff appreciation gift!,What better gift during these times than one to treat yourself.  This is a great gift I gave out to my staff and even those who don't read liked the idea of being able to listen to the audiobooks as well as there being content and other media through Audible.,4.0,POSITIVE,POSITIVE,True
55,Cute cute cute!,I love the tin! The gift cards can be ordered on different amounts.,5.0,POSITIVE,POSITIVE,True
56,Five Stars,Simple and easy.,5.0,POSITIVE,POSITIVE,True
57,As described.,Being able to reload the gift card is a time saver.,5.0,POSITIVE,POSITIVE,True
58,Perfect gift for any occasion. Let them pick out what they love!,"I mean really, who wouldn't LOVE this?!?  Wonderful gift for any occasion.",5.0,POSITIVE,POSITIVE,True
59,12 year old daughter loved this gift!,Perfect gift for your kids!,5.0,POSITIVE,POSITIVE,True
60,Easy to send to an Amazon shopper,This is a simple gift to friends or family. For me it was easy to setup. Took ok only about 30 seconds. I also redeem Visa gifts by giving the gift card to myself. I like there isnt a fee. I do want Amazon to make some cooler cards with my animation when a receiver gets it.,5.0,POSITIVE,POSITIVE,True
61,Rec'd promo from Amazon when reloading gift card.,"Bonus, rec'd a promo from Amazon for reloading gift card.  Yeah.<br /><br />Gift card was posted to my account quickly.",5.0,POSITIVE,POSITIVE,True
62,Saves a Little Over time.,Nice way to save a few bucks overtime by reloading your own gift card.,5.0,POSITIVE,POSITIVE,True
63,What a great company,"Who wouldn't want an Amazon gift card?  The box foretold the contents, lol.",5.0,POSITIVE,POSITIVE,True
64,A problem to use at drive thru's,"I only used the $50 card one time at Burger King. It was difficult to use. Must be run as credit, not as gift card. No remaining balance is given at the end of the transaction. And although it's on me, I misplaced or lost this card after only spending about $6 of it. I was hoping that the seller could provide me with the full card number so that I could at least use it online for other purchases. They failed to respond. I have the receipt from BK, but it only shows the last 4 numbers. There isn't a way of contacting happy cards customer service online that I could figure out. I wish I'd just stuck with credit cards. A lot safer.",1.0,NEGATIVE,NEGATIVE,True
65,A gift card does make a great gift for a tweenager.,"We all know the kid who wants nothing. Or actually wants everything but nothing is good enough. YES,YES,the secret weapon. A AMAZON GIFT CARD!!  You pulled it off. You showed your love and you are the best and greatest. Happy Birthday to just because,You are the BEST!!",5.0,POSITIVE,POSITIVE,True
66,Nice to have,"This comes in  very handy, and makes the guilt less",5.0,POSITIVE,POSITIVE,True
67,Excellent Gift,"Who would not like an Amazon Gift Card?  Makes everyone I give them, happy!",5.0,POSITIVE,POSITIVE,True
68,Yay so easy!,So easy! No scraping!,5.0,POSITIVE,POSITIVE,True
69,:),easy to use,5.0,POSITIVE,POSITIVE,True
70,10/10,works great,5.0,POSITIVE,POSITIVE,True
71,Perfect for a birthday 🎂,Another nice gift box from Amazon. With the world the way it is now I had to send a gift rather than going to a party. And Amazon has a good selection of gift boxes and fast shipping so my nephew was happy when he received the card in the mail.,5.0,POSITIVE,POSITIVE,True
72,Perfect!,Bought this for a gift and was very happy it shipped quickly and they received it just in time! Amazon is awesome! 🤩,5.0,POSITIVE,POSITIVE,True
73,Gift box nice!,Love the gift box. So much j NB icee than just handing a gift card to the grandkids.,5.0,POSITIVE,POSITIVE,True
74,It was soooo easy,It was a nice way to give a present,5.0,POSITIVE,POSITIVE,True
75,great,great buy,5.0,POSITIVE,POSITIVE,True
76,Amazon Thinks of Everything!,GREAT idea!  I was so happy to have these on hand for the Holidays!,5.0,POSITIVE,POSITIVE,True
77,Amazon lover giftee?  Buy it!,So gift card for certain sum.  No service fee.  Lively metal gift box - yes..... I said metal.  What is not to love about this???!<br /><br />Well done Amazon.  Well done.,5.0,POSITIVE,POSITIVE,True
78,Timing,Great timing.,5.0,POSITIVE,POSITIVE,True
79,Was easy to do,Easy to use,5.0,POSITIVE,POSITIVE,True
80,PENGUINS,So so cute!,5.0,POSITIVE,POSITIVE,True
81,Believe this is the best gift to give !,The recipient can choose what they want so the giver has less chance of a mistake.,5.0,POSITIVE,POSITIVE,True
82,convenient,A great and convenient gift idea-price is right too!,5.0,POSITIVE,POSITIVE,True
83,Five Stars,The gift card came in a pretty box.<br />Thanks Amozan.,5.0,POSITIVE,POSITIVE,True
84,Best gift for someone you don’t know what to get,This was for a gift,5.0,POSITIVE,POSITIVE,True
85,Great value,Made my shopping much better good value,5.0,POSITIVE,POSITIVE,True
86,Sweet gift!,I sent this to my brother and he couldn't stop talking about it. This boxes puts a little more nice into a gift. Very pretty!,5.0,POSITIVE,POSITIVE,True
87,Amazing,It can be used for a variety of things.,5.0,POSITIVE,POSITIVE,True
88,Great Holder,Great holder for gift cards,5.0,POSITIVE,POSITIVE,True
89,Gift card,Makes these so easy for any holiday and especially stops buying something people do not like,5.0,POSITIVE,POSITIVE,True
90,Starbuck gift card,My friend like the gift card like the sweater for holiday card,5.0,POSITIVE,POSITIVE,True
91,Good litte thank-you gifts,"I'm happy they did not cost me more than their face value to buy. I gave them out as a nice thank you to those who helped me with small things around my house. I sent them in the mail as a surprise, knowing money or gifts was not necessary. I recommend them.",5.0,POSITIVE,POSITIVE,True
92,Okay as a gift,"After I bought several I realized I could have sent ""gift"" money via text without the fees or wait.",3.0,NEGATIVE,NEGATIVE,True
93,Good gift,"Those who already have everything, they can buy an audible book, an old rerun of a favorite movie, some little thing they may want, or whatever as a gift for any occasion. I recommend.",5.0,POSITIVE,POSITIVE,True
94,So convenient.,"Arrived on time, in perfect shape, and best of all the person receiving the gift can buy whatever they want. One size fits all!",5.0,POSITIVE,POSITIVE,True
95,Just what was ordered.,Made holiday shopping easy!,5.0,POSITIVE,POSITIVE,True
96,Can Do It From Home,Usually I either receive an Amazon gift card as a birthday and/or Christmas gift or I purchase them at a store. Then it's very easy to add the amount to my gift card balance using my cell phone. Well I was stuck inside for several days due to a blizzard and I bought quite a few books then due to a travel ban I could not go to the store to purchase a gift card.<br />So after checking my Gift Card Balance I saw that I had overindulged and it needed to be topped up. One of the options under Manage Your Balance was to Reload Your Balance. I had never used this option but decided to try it. It was so easy to do and I didn't have to leave the comfort of my home. I will be using it again in the future.,5.0,POSITIVE,POSITIVE,True
97,Love it!,Love my card!!,5.0,POSITIVE,POSITIVE,True
98,Easy to use,It’s easy to use and very convenient. I would definitely consider refill more in the future,5.0,POSITIVE,POSITIVE,True
99,Easy to use,Very easy to use. I wish I knew about it earlier,3.0,NEGATIVE,POSITIVE,False
100,Perfect gift sent I a lovely container,Sent in a lovely container,5.0,POSITIVE,POSITIVE,True
